,acro,allen_ids,parcel_ids,network,side
0,FRP,184,1,LCN,left
1,MOp,985,2,LCN,left
2,MOs,993,3,DMNmid,left
3,SSp-n,353,4,LCN,left
4,SSp-bfd,329,5,DMNpln,left
5,SSp-ll,337,6,DMNmid,left
6,SSp-m,345,7,LCN,left
7,SSp-ul,369,8,DMNmid,left
8,SSp-tr,361,9,DMNmid,left
9,SSp-un,182305689,10,DMNmid,left
10,SSs,378,11,LCN,left
11,GU,1057,12,LCN,left
12,VISC,677,13,LCN,left
13,AUD,247,14,DMNpln,left
14,VIS,669,15,DMNpln,left
15,ACA,31,16,DMNmid,left
16,PL,972,17,DMNmid,left
17,ILA,44,18,BF,left
18,ORB,714,19,DMNmid,left
19,AI,95,20,LCN,left
20,RSP,254,21,DMNpln,left
21,PTLp,22,22,DMNpln,left
22,TEa,541,23,DMNpln,left
23,PERI,922,24,BF,left
24,ECT,895,25,BF,left
25,OLF,698,26,BF,left
26,CA,375,27,HC,left
27,DG,726,28,HC,left
28,ENT,909,29,BF,left
29,SUB,502,30,HC,left
30,PRE,1084,31,HC,left
31,POST,1037,32,DMNpln,left
32,CTXsp,703,33,BF,left
33,STRd,485,34,LCN,left
34,STRv,493,35,BF,left
35,LSX,275,36,BF,left
36,sAMY,278,37,BF,left
37,PALd,818,38,LCN,left
38,PALv,835,39,BF,left
39,PALm,826,40,BF,left
40,PALc,809,41,BF,left
41,DORsm,864,42,DMNth,left
42,DORpm,856,43,DMNth,left
43,LZ,290,44,BF,left
44,MEZ,467,45,BF,left
45,SCs,302,46,DMNpln,left
46,SNr,381,47,DMNth,left
47,VTA,749,48,DMNth,left
48,MRN,128,49,DMNth,left
49,SCm,294,50,DMNpln,left
50,PAG,795,51,DMNth,left
51,PRT,1100,52,DMNth,left
52,RAmb,165,53,HC,left
53,FRP,184,54,LCN,right
54,MOp,985,55,LCN,right
55,MOs,993,56,DMNmid,right
56,SSp-n,353,57,LCN,right
57,SSp-bfd,329,58,DMNpln,right
58,SSp-ll,337,59,DMNmid,right
59,SSp-m,345,60,LCN,right
60,SSp-ul,369,61,DMNmid,right
61,SSp-tr,361,62,DMNmid,right
62,SSp-un,182305689,63,DMNmid,right
63,SSs,378,64,LCN,right
64,GU,1057,65,LCN,right
65,VISC,677,66,LCN,right
66,AUD,247,67,DMNpln,right
67,VIS,669,68,DMNpln,right
68,ACA,31,69,DMNmid,right
69,PL,972,70,DMNmid,right
70,ILA,44,71,BF,right
71,ORB,714,72,DMNmid,right
72,AI,95,73,LCN,right
73,RSP,254,74,DMNpln,right
74,PTLp,22,75,DMNpln,right
75,TEa,541,76,DMNpln,right
76,PERI,922,77,BF,right
77,ECT,895,78,BF,right
78,OLF,698,79,BF,right
79,CA,375,80,HC,right
80,DG,726,81,HC,right
81,ENT,909,82,BF,right
82,SUB,502,83,HC,right
83,PRE,1084,84,HC,right
84,POST,1037,85,DMNpln,right
85,CTXsp,703,86,BF,right
86,STRd,485,87,LCN,right
87,STRv,493,88,BF,right
88,LSX,275,89,BF,right
89,sAMY,278,90,BF,right
90,PALd,818,91,LCN,right
91,PALv,835,92,BF,right
92,PALm,826,93,BF,right
93,PALc,809,94,BF,right
94,DORsm,864,95,DMNth,right
95,DORpm,856,96,DMNth,right
96,LZ,290,97,BF,right
97,MEZ,467,98,BF,right
98,SCs,302,99,DMNpln,right
99,SNr,381,100,DMNth,right
100,VTA,749,101,DMNth,right
101,MRN,128,102,DMNth,right
102,SCm,294,103,DMNpln,right
103,PAG,795,104,DMNth,right
104,PRT,1100,105,DMNth,right
105,RAmb,165,106,HC,right
